Zaman damgası,ne sıklıkla müzik dinlersiniz?,hangi müzik dinleme uygulamasını kullanıyorsunuz?,hangi tür müzikleri ağırlıklı olarak dinlersiniz?,yeni bir şarkı dinleyeceğiniz zaman popülerliğine önem verir misiniz?,sosyal medyadan duyup dinlemeye başladığınız şarkılar var mı ?,yeni çıkan şarkıları ne sıklıkla takip edersiniz?,birisi size sevdiği bir şarkıyı dinletse ne yaparsınız?,eklemek istediğiniz bir şey var ise yazabilirsiniz.
17.11.2025 18:34:26,çok sık,spotify,diğer,biraz,evet,yeni şarkıları çok sık takip etmem,şarkının girişi hoşuma giderse dinlerim,
17.11.2025 18:36:46,ortalama sıklıkta,spotify,hip-hop,Hayır,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,şarkının girişi hoşuma giderse dinlerim,
17.11.2025 18:38:33,genellikle,youtube music,klasik,Hayır,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,şarkının girişi hoşuma giderse dinlerim,
17.11.2025 18:38:47,çok sık,spotify,rap,biraz,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
17.11.2025 18:42:09,neredeyse hiç,diğer,diğer,Hayır,Hayır,yeni şarkıları çok sık takip etmem,yeni şarkılar denemek beni sıkar,
17.11.2025 18:43:00,ortalama sıklıkta,spotify,pop,biraz,evet,sadece sevdiğim sanatçılarınkini takip ederim,açıp denemek için dinlerim,
17.11.2025 18:47:58,çok sık,spotify,pop,biraz,evet,sadece sevdiğim sanatçılarınkini takip ederim,açıp denemek için dinlerim,
17.11.2025 18:49:19,çok sık,spotify,diğer,Hayır,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
17.11.2025 18:54:05,genellikle,youtube music,pop,evet,evet,yeni şarkıları sıklıkla takip ederim,şarkının girişi hoşuma giderse dinlerim,
17.11.2025 19:36:18,çok sık,deezer,diğer,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,açıp denemek için dinlerim,Japon-pop adamdır
17.11.2025 19:44:19,çok sık,youtube music,rap,Hayır,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
17.11.2025 20:02:28,çok sık,apple music,rock,biraz,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,açıp denemek için dinlerim,
17.11.2025 20:04:40,çok sık,spotify,rock,biraz,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
17.11.2025 20:11:45,genellikle,spotify,rock,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,şarkının girişi hoşuma giderse dinlerim,
17.11.2025 20:17:52,genellikle,spotify,hip-hop,Hayır,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,açıp denemek için dinlerim,
17.11.2025 23:12:23,nadiren,diğer,diğer,Hayır,Hayır,genellikle zaten dinlemekte olduğum şarkıları dinlerim,şarkının girişi hoşuma giderse dinlerim,
17.11.2025 23:12:33,genellikle,youtube music,diğer,Hayır,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,açıp denemek için dinlerim,
17.11.2025 23:38:01,ortalama sıklıkta,diğer,diğer,Hayır,Hayır,genellikle zaten dinlemekte olduğum şarkıları dinlerim,şarkının girişi hoşuma giderse dinlerim,
18.11.2025 09:56:50,genellikle,youtube music,rap,evet,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,şarkının girişi hoşuma giderse dinlerim,
18.11.2025 09:57:26,çok sık,youtube music,klasik,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,şarkının girişi hoşuma giderse dinlerim,💞💞
18.11.2025 10:03:42,ortalama sıklıkta,youtube music,pop,evet,evet,sadece sevdiğim sanatçılarınkini takip ederim,şarkının girişi hoşuma giderse dinlerim,
18.11.2025 10:04:13,genellikle,youtube music,pop,Hayır,evet,yeni şarkıları çok sık takip etmem,şarkının girişi hoşuma giderse dinlerim,
